text,created_at,author/followers_count,author/screen_name
Welp MT: @sagesteele Comical hearing @BarackObama pimping his health care plan on @ESPN_Colin 's show... It's ESPN!! Let's stick to hoops!!!,1395345455,750,kileykmiec
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395345134,368,nickicomelately
"RT @thestreeter: #forward #letsmove #yeswecan MT @redsteeze: Putin is also calling it that RT @BarackObama: ""We're calling this a year of a…",1395344986,2234,Obama26Obama
"RT @thestreeter: #forward #letsmove #yeswecan MT @redsteeze: Putin is also calling it that RT @BarackObama: ""We're calling this a year of a…",1395344851,2659,delohouse
"#forward #letsmove #yeswecan MT @redsteeze: Putin is also calling it that RT @BarackObama: ""We're calling this a year of action""",1395344775,5061,thestreeter
"Yes, pls do! Would love 2 read about your experience! MT @AbeAborayaOBJ @MyMamihood @BarackObama @valenciacollege  Want to chat afterwards?",1395344292,10231,MsLatina
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395344190,258,Marcus_Garza
"Liar Of The Year------&gt;MT @BarackObama: ""The deadline to get covered this year is March 31st."" —President Obama #LastCall2014",1395344082,854,NoahWehrman
RT @jstines3: MT @H8Crats: You were accountable! @BarackObama @HillaryClinton #JusticeForBenghazi4 http://t.co/i00t19AgBN http://t.co/7HpFs…,1395343959,897,GrouchyOldBiker
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395343679,45,UT4MedicaidXpan
"MT &gt; @BarackObama : ""We're calling this a year of action ... I'm not going to wait for Congress."" — President Putin",1395343649,54,friend4u2know
"MT @BarackObama: ""We're calling this a year of action ... I'm not going to wait for Congress. Fuck the Constitution."" — President Obama",1395343571,1143,kankokage
"IOW ""Silly balance of powers.I thumb my nose at you""MT @BarackObama ""We're callng this a year of action...I'm not going to wait for Congress",1395343559,4289,ArtbyAWOHS
